Investigation.Type,Accident.Number,Event.Date,Location,Country,Injury.Severity,Aircraft.damage,Aircraft.Category,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,Purpose.of.flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Broad.phase.of.flight,Year
Accident,CEN20LA013,2019-10-22,"Lamesa, TX",United States,Non-Fatal,Minor,Airplane,AIR TRACTOR,AT 502,No,1.0,Turbo Prop,Aerial Application,0.0,0.0,0.0,1.0,VMC,unknown,2019
Accident,WPR20LA012,2019-10-23,"Holden, UT",United States,Non-Fatal,Substantial,Airplane,CZECH SPORT AIRCRAFT,Sportcruiser,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,Unknown,unknown,2019
Accident,WPR20LA014,2019-10-23,"Spanaway, WA",United States,Non-Fatal,Substantial,Airplane,VANS,RV 6,Yes,1.0,Reciprocating,Personal,0.0,1.0,1.0,0.0,VMC,unknown,2019
Accident,GAA20CA095,2019-10-23,"Marion, AL",United States,Non-Fatal,Substantial,Airplane,CESSNA,120,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,unknown,2019
Accident,GAA20WA078,2019-10-23,"Madero, Mexico, Mexico",Mexico,Fatal,Substantial,Airplane,CESSNA,401,No,0.0,unknown,unknown,6.0,0.0,0.0,0.0,Unknown,unknown,2019
Accident,GAA20CA091,2019-10-24,"Apopka, FL",United States,Non-Fatal,Substantial,Airplane,COSTRUZIONI AERONAUTICHE TECNA,P2004,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,unknown,2019
Accident,ERA20FA019,2019-10-24,"Summit Point, WV",United States,Fatal,Destroyed,Airplane,MOONEY,M20A,No,1.0,Reciprocating,Personal,2.0,0.0,0.0,0.0,VMC,unknown,2019
Accident,WPR20LA017,2019-10-24,"Red Creek, AZ",United States,Non-Fatal,Substantial,Airplane,CESSNA,205,No,0.0,unknown,Personal,0.0,0.0,0.0,3.0,VMC,unknown,2019
Accident,CEN20LA014,2019-10-25,"Swea City, IA",United States,Non-Fatal,Substantial,Airplane,CESSNA,172,No,1.0,Reciprocating,Personal,0.0,1.0,0.0,0.0,VMC,unknown,2019
Accident,WPR20FA015,2019-10-25,"American Falls, ID",United States,Fatal,Substantial,Airplane,MOONEY,M20J,No,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,VMC,unknown,2019
Accident,GAA20CA050,2019-10-25,"Opa Locka, FL",United States,Non-Fatal,Substantial,Airplane,PIPER,PA 30,No,2.0,Reciprocating,Instructional,0.0,0.0,0.0,2.0,VMC,unknown,2019
Accident,WPR20FAMS1,2019-10-25,"Shelter Cove, CA",United States,Fatal,Destroyed,Airplane,PIPER,PA28R,No,0.0,unknown,Personal,2.0,0.0,0.0,0.0,VMC,unknown,2019
Accident,GAA20CA051,2019-10-26,"Tavares, FL",United States,Non-Fatal,Substantial,Airplane,PEREYRA,AVENTURA,Yes,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,unknown,2019
