Aircraft Type,Accident Count,Fatal Accidents,Total Fatalities,Avg Severity Index,First Year,Last Year,Risk Score
AEROSPOOL WT10,0.0,1,0.002967359050445104,0.011461318051575931,2021,2021,0.0034792072304932276
GRUMMAN GA 7,0.0,1,0.002967359050445104,0.011461318051575931,1989,1989,0.0034792072304932276
AEROSPATIALE/SOCATA TB 10,0.0,1,0.002967359050445104,0.011461318051575931,1990,1990,0.0034792072304932276
AEROSPATIALE TB 10,0.0,1,0.002967359050445104,0.011461318051575931,1989,1989,0.0034792072304932276
AEROSPATIALE SA365N 1 D,0.0,1,0.002967359050445104,0.011461318051575931,2008,2008,0.0034792072304932276
HAWKER BEECH A36TC,0.0,1,0.002967359050445104,0.011461318051575931,2015,2015,0.0034792072304932276
GULFSTREAM GVI,0.0,1,0.002967359050445104,0.011461318051575931,2011,2011,0.0034792072304932276
PIPER AIRCRAFT INC PA 44 180,0.0,1,0.002967359050445104,0.011461318051575931,2010,2010,0.0034792072304932276
AGUSTAWESTLAND SPA AGUSTA AW139,0.0,1,0.002967359050445104,0.011461318051575931,2014,2014,0.0034792072304932276
EUROCOPTER DEUTSCHLAND BK117C1,0.0,1,0.002967359050445104,0.011461318051575931,2007,2007,0.0034792072304932276
CESSNA AIRCRAFT 182P,0.0,1,0.002967359050445104,0.011461318051575931,2015,2015,0.0034792072304932276
GULFSTREAM AC 680F,0.0,1,0.002967359050445104,0.011461318051575931,1985,1985,0.0034792072304932276
CONVAIR C 131E,0.0,1,0.002967359050445104,0.011461318051575931,1996,1996,0.0034792072304932276
CESSNA AIRCRAFT 172A,0.0,1,0.002967359050445104,0.011461318051575931,2013,2013,0.0034792072304932276
CESSNA 205C,0.0,1,0.002967359050445104,0.011461318051575931,1987,1987,0.0034792072304932276
BACHMAN LANCAIR IV P,0.0,1,0.002967359050445104,0.011461318051575931,2004,2004,0.0034792072304932276
MOONEY M 20A,0.0,1,0.002967359050445104,0.011461318051575931,1983,1983,0.0034792072304932276
CESSNA A188A,0.006765327695560253,2,0.001483679525222552,0.0008427439743805831,1982,2022,0.0034681516831892387
LET L 23 SUPER BLANIK,0.006765327695560253,1,0.001483679525222552,0.0008427439743805831,1995,2022,0.0034681516831892387
PIPER PA 12 150,0.002959830866807611,4,0.004451038575667656,0.0025071633237822347,1986,2018,0.0034657804417465537
CESSNA TR 182,0.002959830866807611,4,0.004451038575667656,0.0025071633237822347,1982,1999,0.0034657804417465537
NORTH AMERICAN NAVION A,0.0038054968287526423,3,0.00370919881305638,0.002292263610315186,1986,2018,0.003464330978786646
QUEST AIRCRAFT COMPANY KODIAK,0.0,1,0.001483679525222552,0.014326647564469913,2014,2014,0.0034588013229830037
AEROSPATIALE TB 21,0.0008456659619450317,2,0.004451038575667656,0.0066857688634192934,1988,1993,0.003455835587728934
CESSNA U 206G,0.0025369978858350954,3,0.004451038575667656,0.0032746623004502656,1986,2003,0.003450147044691154
CESSNA 210F,0.005919661733615222,3,0.002225519287833828,0.0009551098376313276,1983,2017,0.0034490943761058862
BALONY KUBICEK SPOL BB60Z,0.0,0,0.0,0.017191977077363897,2015,2015,0.00343839541547278
KUBICEK BB60,0.0,0,0.0,0.017191977077363897,2019,2019,0.00343839541547278
BOEING 787 900,0.0,0,0.0,0.017191977077363897,2022,2022,0.00343839541547278
RAYTHEON CORPORATE JETS BE 400A,0.0,0,0.0,0.017191977077363897,1999,1999,0.00343839541547278
HELIO 700,0.0,0,0.0,0.017191977077363897,2000,2000,0.00343839541547278
BOEING 717 200,0.008456659619450316,0,0.0,0.00027288852503752213,2001,2022,0.003437241552787631
KAMAN K 1200,0.00507399577167019,4,0.002967359050445104,0.001102049812651532,1998,2020,0.003436951891376424
BEECH B 55,0.004228329809725159,3,0.00370919881305638,0.0013024225058609013,1985,2017,0.0034354959502847955
NORTH AMERICAN AT 6,0.004228329809725159,3,0.00370919881305638,0.0013024225058609013,1983,2016,0.0034354959502847955
AVIAT PITTS S 2B,0.004228329809725159,3,0.00370919881305638,0.0013024225058609013,1994,2017,0.0034354959502847955
PIPER PA 30B,0.004228329809725159,3,0.00370919881305638,0.0013024225058609013,1983,2021,0.0034354959502847955
COMMANDER 114 B,0.0012684989429175475,2,0.004451038575667656,0.0057306590257879654,1998,2005,0.0034339468125916747
LAKE LA 4 250,0.0012684989429175475,2,0.00370919881305638,0.007163323782234957,1986,1999,0.0034237438588365626
BEECH 56TC,0.0033826638477801266,2,0.00370919881305638,0.0028653295128939827,1982,2006,0.0034098109669133993
BELL HELICOPTER TEXTRON CANADA 407,0.0038054968287526423,3,0.00370919881305638,0.0020057306590257878,2009,2022,0.0034070243885287667
VANS RV7,0.004228329809725159,2,0.002967359050445104,0.0026048450117218025,2016,2022,0.0033992445464124657
PIPER AEROSTAR 600,0.002959830866807611,2,0.004451038575667656,0.002148997134670487,1984,2021,0.003394147203924204
GRUMMAN AA5A,0.002114164904862579,3,0.004451038575667656,0.0038204393505253103,1982,2005,0.003390169262317156
MD HELICOPTER 600,0.002114164904862579,2,0.004451038575667656,0.0038204393505253103,2009,2020,0.003390169262317156
GRUMMAN G164B,0.008456659619450316,0,0.0,0.0,1982,2018,0.0033826638477801266
BEECH BE 60,0.0025369978858350954,3,0.004451038575667656,0.0028653295128939827,1983,2004,0.0033682804871798975
BOEING A 75N1,0.0025369978858350954,3,0.004451038575667656,0.0028653295128939827,1991,2007,0.0033682804871798975
CESSNA 337A,0.0025369978858350954,3,0.004451038575667656,0.0028653295128939827,1983,2008,0.0033682804871798975
LANCAIR 320,0.0025369978858350954,3,0.004451038575667656,0.0028653295128939827,1991,2010,0.0033682804871798975
ROBINSON HELICOPTER COMPANY R 44,0.00042283298097251583,1,0.002967359050445104,0.010028653295128939,2005,2013,0.0033618074715928356
CESSNA 336,0.0038054968287526423,2,0.00370919881305638,0.0017191977077363897,1982,2022,0.0033497177982708868
CESSNA T 210N,0.0038054968287526423,2,0.00370919881305638,0.0017191977077363897,1983,1996,0.0033497177982708868
TAYLORCRAFT BC12 65,0.0054968287526427064,2,0.002225519287833828,0.0012279983626688497,1982,2022,0.0033345388887243838
HUGHES TH 55,0.0054968287526427064,2,0.002225519287833828,0.0012279983626688497,1990,2019,0.0033345388887243838
SCHLEICHER ASW 27,0.0054968287526427064,2,0.002225519287833828,0.0012279983626688497,2002,2019,0.0033345388887243838
PITTS S 2A,0.004651162790697674,3,0.002967359050445104,0.0014326647564469914,1983,2009,0.00333394168774651
HUGHES 500D,0.007188160676532769,1,0.000741839762611276,0.000795924864692773,1982,2022,0.0033311851485961727
BOEING DC 10,0.00042283298097251583,0,0.0,0.015759312320916905,2003,2009,0.0033209956565723874
GRUMMAN ACFT ENG COR SCHWEIZER G 164A,0.007188160676532769,1,0.000741839762611276,0.0006367398917542183,2009,2017,0.003299348154008462
NORTH AMERICAN T 28A,0.004228329809725159,4,0.002967359050445104,0.002083876009377442,1983,2017,0.0032950507459435937
VANS RV9,0.002114164904862579,3,0.004451038575667656,0.0033428844317096467,2016,2021,0.0032946582785540234
CIRRUS DESIGN CORPORATION SR22,0.002114164904862579,3,0.004451038575667656,0.0033428844317096467,2006,2013,0.0032946582785540234
NORTH AMERICAN T28,0.002114164904862579,4,0.004451038575667656,0.0033428844317096467,2016,2021,0.0032946582785540234
PIPER PA34 200T,0.002114164904862579,2,0.004451038575667656,0.0033428844317096467,1983,2018,0.0032946582785540234
CESSNA TU 206G,0.0038054968287526423,4,0.00370919881305638,0.0014326647564469914,1983,2000,0.0032924112080130073
AERO COMMANDER 690,0.0038054968287526423,2,0.00370919881305638,0.0014326647564469914,1984,2018,0.0032924112080130073
BEECH 24R,0.0025369978858350954,3,0.004451038575667656,0.0024559967253376994,1985,2007,0.003286413929668641
CESSNA T337C,0.0025369978858350954,4,0.004451038575667656,0.0024559967253376994,1982,2013,0.003286413929668641
BELL 206 L 1,0.0033826638477801266,3,0.00370919881305638,0.002228589621139764,1982,2008,0.0032824629885625555
AERONCA O 58B,0.0038054968287526423,3,0.002967359050445104,0.0028653295128939827,1983,2016,0.003282208254257895
PARTENAVIA P68,0.0012684989429175475,1,0.00370919881305638,0.0064469914040114614,2006,2021,0.003280477383191863
BEECH 19,0.006342494714587738,1,0.001483679525222552,0.0007163323782234957,1982,2019,0.0032737361715688153
SCHWEIZER AIRCRAFT CORP G 164B,0.006342494714587738,2,0.001483679525222552,0.0007163323782234957,2006,2022,0.0032737361715688153
MAULE M 7 235C,0.007188160676532769,1,0.000741839762611276,0.0004775549188156638,1998,2017,0.0032675111594207508
FLIGHT DESIGN CTSW,0.005919661733615222,1,0.001483679525222552,0.0015281757402101242,2005,2021,0.0032669716515771347
CESSNA T21OL,0.0008456659619450317,1,0.004451038575667656,0.0057306590257879654,1982,1984,0.003264813620202668
CESSNA 210 5 (205),0.0008456659619450317,3,0.004451038575667656,0.0057306590257879654,1983,2007,0.003264813620202668
DEHAVILLAND DHC 2 MK.I,0.0008456659619450317,1,0.004451038575667656,0.0057306590257879654,2015,2021,0.003264813620202668
PILATUS PC 6,0.0008456659619450317,1,0.004451038575667656,0.0057306590257879654,1997,2005,0.003264813620202668
